ID,Auscultation_Point_x,y_3class_str,seSQI,cpSQI,pr100_200SQI,pr200_400SQI,mean_133_267,median_133_267,max_600_733,diff_peak_sqi,svdSQI
47,PV,uncertain,0.24634609066092042,0.7222234587075473,0.1089971563543907,0.0059031864864104765,2.9991517066955566,3.118678092956543,-0.10205793380737305,2.9296875,0.033814520570031495
47,TV,low_quality,0.25683043843159187,0.7457370980945215,0.07268887451630375,0.002721282592115415,2.513758659362793,2.3967628479003906,-0.07469743490219116,2.9296875,0.08775412930007197
48,AV,uncertain,0.1949410920009156,0.06618181944117071,0.03246306334379767,0.002142597669335699,3.057745933532715,2.9648287296295166,-0.09848881512880325,2.197265625,0.09084098976660311
48,MV,uncertain,0.08387033727889198,0.06141291445269256,0.525124630208639,0.0905758926640827,2.514580011367798,1.7060092687606812,0.20932736992835999,75.0732421875,0.016854834351948348
48,PV,high_quality,0.16384717378768843,0.06288945376078411,0.5999739106395656,0.01855426812582615,2.260749578475952,2.2221856117248535,-2.152379035949707,9.521484375,0.165124388514373
48,TV,uncertain,0.16679947257212063,0.08793892070440999,0.025375729333478092,0.0025609607549729853,2.0175557136535645,1.7587568759918213,-0.02161046862602234,5.126953125,0.2865878329929979
49,AV,low_quality,0.18499585162608886,0.14248819393814452,0.16347366353625392,0.011057133664687819,3.3595612049102783,3.430934429168701,0.5166601538658142,2.5634765625,0.06134967079337133
49,MV,high_quality,0.14741066141189646,0.12203891291848348,0.13559525468316938,0.2264451012107649,2.060667037963867,1.9229516983032227,0.5631453990936279,3.2958984375,0.2805364161700664
49,PV,uncertain,0.26294805033229957,0.36311994524264013,0.11429992087462228,0.0032805110060893563,2.626100540161133,2.5338375568389893,-0.3132794201374054,1.0986328125,0.025596475762900067
49,TV,high_quality,0.29820439599443527,0.24438575212116212,0.05809756476490085,0.020615967349116606,1.729832410812378,1.6690776348114014,0.07863809913396835,3.662109375,0.05591061872744855
4,AV,uncertain,0.11967977118490558,0.3010188294170456,0.04874655226961292,0.004087843643453258,1.7238610982894897,1.6429619789123535,0.5107816457748413,2.9296875,0.10109668488480682
4,MV,high_quality,0.1137482663600098,0.7352949074726512,0.06351146645556717,0.0016176543429760025,2.4378366470336914,2.190530776977539,-0.1799146831035614,6.2255859375,0.07187996576127983
4,PV,high_quality,0.2224255763011804,0.7174370156541686,0.04971000192908669,0.0026961434817736663,1.4754652976989746,1.2372493743896484,-0.7990559339523315,3.2958984375,0.06157086459021771
4,TV,high_quality,0.1632530234317912,0.5442174590527842,0.017620361058893624,0.0007607249862455027,1.4357020854949951,1.1511038541793823,0.20720604062080383,2.9296875,0.10456595021907826
50,AV,uncertain,0.1666881533832424,0.47926304058000707,0.7384243007469727,0.07060959213471417,3.925535202026367,4.0922980308532715,0.40000954270362854,3.2958984375,0.022533175864186746
50,MV,uncertain,0.11468218883699219,0.14562174287858123,0.7136345389867437,0.05465373438866553,2.7525150775909424,2.666632652282715,0.4807482361793518,15.0146484375,0.11334748957991395
50,PV,high_quality,0.15770169979254875,0.2088532128487539,0.7295724921503232,0.06609026029082081,4.1194329261779785,4.264598369598389,-0.13350972533226013,9.521484375,0.09174547039135193
50,TV,uncertain,0.15951524397748498,0.21345095545765863,0.6702842332269675,0.052148104971267976,3.196911334991455,3.0992841720581055,0.38920482993125916,3.662109375,0.035429919340943694
51,AV,low_quality,0.11938116453364074,0.04610083084696309,0.8936493102870318,0.01523931810581801,2.319239854812622,2.260404348373413,-0.48933839797973633,9.1552734375,0.3807961208906317
51,MV,low_quality,0.12617121740739512,0.12020387713487862,0.8708886220388887,0.03166434011540156,1.6992387771606445,1.4960299730300903,-1.2357152700424194,1.46484375,0.2894985678360917
51,PV,low_quality,0.12121084873653966,0.004966538131083095,0.7815721928262692,0.029612513888644894,1.4739540815353394,1.491407871246338,-2.8301730155944824,3.2958984375,0.07484935785120844
51,TV,low_quality,0.13303009976277164,0.10605194927252495,0.8878584793858669,0.03209595410347599,2.6987545490264893,2.648798942565918,-0.08730757981538773,0.732421875,0.382876703749032
52,AV,low_quality,0.1658703895741415,0.05404453199980305,0.27460831794033647,0.010385606652088725,2.4267008304595947,2.1781396865844727,-0.4455620050430298,9.1552734375,0.3835907079228974
52,MV,uncertain,0.1363164680752246,0.05714060093634543,0.851396466231809,0.02112070329447194,1.6177436113357544,1.4642019271850586,-1.3681527376174927,2.5634765625,0.41700500654653094
52,PV,low_quality,0.16248300201183954,0.09560879521885576,0.07707162559506346,0.009568686501743567,1.3558964729309082,1.136582612991333,-0.5778881311416626,1.0986328125,0.3403600528955044
52,TV,low_quality,0.14430693834028682,0.035033149219611884,0.11853825561538221,0.020771170699306864,2.011134386062622,1.644974708557129,-0.21385730803012848,1.46484375,0.016168450495525486
53,AV,uncertain,0.20528636960225566,0.060890511515624315,0.6794469561915887,0.02964421207566585,2.628467321395874,2.5812649726867676,-1.114701509475708,5.4931640625,0.050799252853532255
53,MV,uncertain,0.18807333461715972,0.10945070430454501,0.4817132406113265,0.03608351889138356,0.7311370968818665,0.6645787954330444,-3.417264699935913,4.39453125,0.28924544350481174
53,PV,high_quality,0.16350101885516308,0.1529945483577174,0.7241398990054096,0.026969389567230186,2.937798023223877,2.935732841491699,-0.8469247817993164,5.126953125,0.12486888573964064
53,TV,uncertain,0.1817992621451125,0.16456824719958094,0.7015812499369088,0.02981177459838017,1.358173131942749,1.1932767629623413,-1.4937286376953125,1.0986328125,0.09355455462506224
54,AV,uncertain,0.08483871305135285,0.05474239512187696,0.7352885328415503,0.032966286797140025,1.7007867097854614,1.7712669372558594,-0.34080761671066284,3.2958984375,0.2989859988827509
54,MV,high_quality,0.2645672721863404,0.3286538824340433,0.5120539539982967,0.05584468592152914,2.263355016708374,1.9800816774368286,-2.0105438232421875,7.32421875,0.021293864577453022
54,PV,uncertain,0.13784152109653755,0.0626356913268362,0.5779141710063946,0.04665498092670462,1.8643486499786377,1.9398647546768188,-3.1692638397216797,4.0283203125,0.18973772517507934
54,TV,uncertain,0.10710104623959159,0.009007085840257556,0.7197684706170391,0.07557302349855437,1.1605602502822876,0.8382754325866699,-1.0354454517364502,1.0986328125,0.017121954512221902
55,AV,uncertain,0.24708114490885946,0.6323884812738219,0.7537033689336511,0.03756395376879378,3.2148454189300537,3.037057399749756,-1.1051950454711914,1.46484375,0.014401675144689045
55,MV,uncertain,0.2750774586770189,0.18531925167053023,0.6418382257557521,0.024152840767684383,1.9971637725830078,1.9365836381912231,-2.7482314109802246,4.0283203125,0.07537113667396078
55,PV,high_quality,0.1838297102267039,0.2670208092166835,0.7238103689688066,0.041377453136227545,3.2724554538726807,3.358506441116333,-1.6439768075942993,9.1552734375,0.22601716811468522
55,TV,uncertain,0.2404361260065034,0.4200693543124392,0.6668753699790543,0.01230668437630139,2.1738333702087402,2.0305356979370117,-1.8679758310317993,3.2958984375,0.0582427426723673
56,AV,uncertain,0.1237271070461795,0.08478151360702267,0.7089977974404056,0.019722644714705573,1.4713274240493774,1.4652814865112305,-1.3317288160324097,2.5634765625,0.17835041408309507
56,MV,high_quality,0.19271616378155323,0.16820076883438806,0.5536142417311051,0.03270732772662723,0.27169808745384216,0.1188092902302742,-1.9209626913070679,1.0986328125,0.1192940354101275
56,PV,high_quality,0.16570618183933167,0.0558787707838859,0.669460693633885,0.05173747822751494,1.8563650846481323,1.8308162689208984,-0.7602578997612,2.9296875,0.10638958421478342
56,TV,low_quality,0.19023208656792057,0.050125362793507836,0.8249642590477929,0.05894951234532041,2.056567430496216,1.9086945056915283,-0.5642596483230591,5.4931640625,0.4478369229166711
57,AV,low_quality,0.15099909745187035,0.1239808487081366,0.511988004283557,0.032949279249114526,2.337381601333618,2.2263951301574707,-0.5612928867340088,0.732421875,0.16157083883813894
57,MV,uncertain,0.20382213817655717,0.1141136317436979,0.5722832765866908,0.16398654228621334,1.404200553894043,1.0552256107330322,-0.8496065139770508,1.0986328125,0.14888847868482247
57,PV,uncertain,0.1384279423091809,0.23903411494576543,0.7302847826165166,0.07669335412597113,2.0509748458862305,1.8204833269119263,-0.785757303237915,0.732421875,0.1110327035320334
57,TV,uncertain,0.18480382850007185,0.29735021297150604,0.3838104196218818,0.08842791985782734,0.6618234515190125,0.5287572741508484,-3.2395007610321045,2.9296875,0.06119262370544552
58,AV,uncertain,0.1412854098585681,0.04979443601995928,0.28345665387336383,0.01322033527202828,2.352473497390747,2.2349891662597656,-0.6577619314193726,2.5634765625,0.182696253079315
58,MV,uncertain,0.110643599476586,0.05021411139281297,0.8464477335991814,0.004056503805020988,0.8592759370803833,0.6059974431991577,-0.8237038850784302,6.9580078125,0.31826949300422913
58,PV,low_quality,0.13446083215510243,0.07517572273804107,0.17808077539181466,0.015554163638574777,1.7349584102630615,1.697442650794983,-0.7464687824249268,2.197265625,0.30503645575217736
58,TV,low_quality,0.1448449658250607,0.02697670776581881,0.3775496084945181,0.0813122269480981,0.8663909435272217,0.7049810290336609,-2.282235622406006,5.859375,0.4151908234591426
59,AV,uncertain,0.18788935815099633,0.2320610365201622,0.7093418500164589,0.0573316115780943,2.0331413745880127,1.9591542482376099,-1.4193365573883057,4.7607421875,0.2603880564031933
59,MV,uncertain,0.15921743181748468,0.0670241586619461,0.5269634192632119,0.07365962182995199,1.5321228504180908,1.406416416168213,-1.3640570640563965,9.8876953125,0.22644153836779576
59,PV,uncertain,0.10332901617699887,0.0007824676109196849,0.6239540377851643,0.06742722334465676,1.7426999807357788,1.665939211845398,-1.3992348909378052,9.1552734375,0.0903102348564745
59,TV,uncertain,0.17093593878096147,0.11070520392955828,0.5136025684164686,0.08728657323529238,1.7720654010772705,1.5050647258758545,-0.8637059926986694,8.7890625,0.0370470349613415
5,AV,high_quality,0.2618299175228293,0.31553088352662584,0.09489178034656809,0.0058227729072044985,3.717392683029175,3.691725254058838,0.7703530788421631,1.0986328125,0.1729318815738425
5,MV,high_quality,0.14369570048027094,0.6601995103377046,0.07320163808377442,0.001037591176221941,1.9499834775924683,1.813748836517334,-0.0390310138463974,2.197265625,0.0689656288572293
5,PV,high_quality,0.26498487535314413,0.5077145652625581,0.049408133630339864,0.006282261267193243,3.262157678604126,3.3281922340393066,-0.6722793579101562,5.4931640625,0.1081279433092113
5,TV,high_quality,0.12328772810787515,0.49182313789093657,0.01560189512265838,0.002413486194315813,1.7439520359039307,1.563387155532837,-0.24444551765918732,2.197265625,0.11748171059047438
